id,offload vehicle id,service vehicle id,allocation basestation id,delay,done status,vehicle density
20220408163125bs0,1.0,3.0,0.0,1.0,"{1: 4, 2: 0}",0.30159997940063477
20220408163127bs0,1.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.15772032737731934
20220408163138bs0,3.0,1.0,0.0,0.0,"{1: 4, 2: 0}",1.2683229446411133
20220408163144bs0,0.0,0.0,0.0,1.0,"{1: 4, 2: 0}",0.1541118621826172
20220408163153bs0,0.0,0.0,0.0,0.0,"{1: 4, 2: 0}",3.1303932666778564
20220408163155bs0,3.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.16646838188171387
20220408163156bs0,1.0,0.0,0.0,1.0,"{1: 4, 2: 0}",0.1481647491455078
20220408163159bs1,0.0,1.0,1.0,1.0,"{1: 3, 2: 1}",0.4726834297180176
20220408163204bs1,3.0,1.0,1.0,1.0,"{1: 3, 2: 1}",0.44536924362182617
20220408163206bs1,0.0,0.0,1.0,1.0,"{1: 3, 2: 1}",0.395526647567749
20220408163212bs1,3.0,2.0,1.0,0.0,"{1: 3, 2: 1}",0.5046446323394775
20220408163214bs1,0.0,2.0,1.0,1.0,"{1: 3, 2: 1}",0.4405548572540283
20220408163215bs1,1.0,2.0,1.0,1.0,"{1: 3, 2: 1}",0.36897850036621094
20220408163220bs1,0.0,2.0,1.0,1.0,"{1: 3, 2: 1}",0.4233529567718506
20220408163223bs1,1.0,1.0,1.0,1.0,"{1: 3, 2: 1}",0.36898040771484375
20220408163228bs1,3.0,2.0,1.0,1.0,"{1: 2, 2: 2}",0.34685802459716797
20220408163235bs1,0.0,1.0,1.0,1.0,"{1: 2, 2: 2}",0.3838629722595215
20220408163237bs1,0.0,0.0,1.0,1.0,"{1: 2, 2: 2}",0.4725055694580078
20220408163239bs1,3.0,0.0,1.0,1.0,"{1: 2, 2: 2}",0.4454617500305176
20220408163242bs1,1.0,3.0,1.0,1.0,"{1: 2, 2: 2}",0.6240451335906982
20220408163245bs1,3.0,3.0,1.0,1.0,"{1: 2, 2: 2}",0.696908712387085
20220408163251bs1,0.0,1.0,1.0,0.0,"{1: 1, 2: 3}",0.7061355113983154
20220408163253bs1,3.0,3.0,1.0,1.0,"{1: 1, 2: 3}",0.5120611190795898
20220408163257bs1,0.0,1.0,1.0,1.0,"{1: 1, 2: 3}",0.5390591621398926
20220408163301bs1,3.0,1.0,1.0,0.0,"{1: 1, 2: 3}",0.47055649757385254
20220408163307bs1,1.0,1.0,1.0,1.0,"{1: 1, 2: 3}",0.8972861766815186
20220408163315bs1,3.0,2.0,1.0,0.0,"{1: 1, 2: 3}",0.5378098487854004
20220408163323bs1,0.0,0.0,1.0,0.0,"{1: 1, 2: 3}",0.7016162872314453
20220408163324bs0,0.0,3.0,0.0,1.0,"{1: 4, 2: 0}",0.16747522354125977
20220408163326bs0,3.0,0.0,0.0,0.0,"{1: 4, 2: 0}",0.16805124282836914
20220408163330bs0,0.0,0.0,0.0,1.0,"{1: 4, 2: 0}",0.14678192138671875
20220408163332bs0,0.0,2.0,0.0,1.0,"{1: 4, 2: 0}",0.16694140434265137
20220408163335bs0,1.0,2.0,0.0,1.0,"{1: 4, 2: 0}",0.1605854034423828
20220408163337bs0,0.0,0.0,0.0,0.0,"{1: 4, 2: 0}",0.1615433692932129
20220408163339bs0,0.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.1566181182861328
20220408163342bs0,3.0,3.0,0.0,1.0,"{1: 4, 2: 0}",0.15573883056640625
20220408163344bs0,3.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.14116907119750977
20220408163347bs0,0.0,3.0,0.0,1.0,"{1: 4, 2: 0}",0.1497328281402588
20220408163349bs0,1.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.1504678726196289
20220408163352bs0,1.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.15754342079162598
20220408163354bs0,0.0,3.0,0.0,1.0,"{1: 4, 2: 0}",0.15731453895568848
